Sc_id	aoisequence	27_ref_102_rule_fixationrate	27_ref_102_rule_longestfixation	27_ref_102_rule_meanfixationduration	27_ref_102_rule_numfixations	27_ref_102_rule_numtransfrom_27_ref_102_rule	27_ref_102_rule_numtransfrom_27_ref_103_rule	27_ref_102_rule_numtransfrom_27_ref_104_rule	27_ref_102_rule_numtransfrom_Highlighted bars	27_ref_102_rule_proportionnum	27_ref_102_rule_proportiontime	27_ref_102_rule_proptransfrom_27_ref_102_rule	27_ref_102_rule_proptransfrom_27_ref_103_rule	27_ref_102_rule_proptransfrom_27_ref_104_rule	27_ref_102_rule_proptransfrom_Highlighted bars	27_ref_102_rule_stddevfixationduration	27_ref_102_rule_timetofirstfixation	27_ref_102_rule_timetolastfixation	27_ref_102_rule_totaltimespent	27_ref_104_rule_fixationrate	27_ref_104_rule_longestfixation	27_ref_104_rule_meanfixationduration	27_ref_104_rule_numfixations	27_ref_104_rule_numtransfrom_27_ref_102_rule	27_ref_104_rule_numtransfrom_27_ref_103_rule	27_ref_104_rule_numtransfrom_27_ref_104_rule	27_ref_104_rule_numtransfrom_Highlighted bars	27_ref_104_rule_proportionnum	27_ref_104_rule_proportiontime	27_ref_104_rule_proptransfrom_27_ref_102_rule	27_ref_104_rule_proptransfrom_27_ref_103_rule	27_ref_104_rule_proptransfrom_27_ref_104_rule	27_ref_104_rule_proptransfrom_Highlighted bars	27_ref_104_rule_stddevfixationduration	27_ref_104_rule_timetofirstfixation	27_ref_104_rule_timetolastfixation	27_ref_104_rule_totaltimespent	27_ref_103_rule_fixationrate	27_ref_103_rule_longestfixation	27_ref_103_rule_meanfixationduration	27_ref_103_rule_numfixations	27_ref_103_rule_numtransfrom_27_ref_102_rule	27_ref_103_rule_numtransfrom_27_ref_103_rule	27_ref_103_rule_numtransfrom_27_ref_104_rule	27_ref_103_rule_numtransfrom_Highlighted bars	27_ref_103_rule_proportionnum	27_ref_103_rule_proportiontime	27_ref_103_rule_proptransfrom_27_ref_102_rule	27_ref_103_rule_proptransfrom_27_ref_103_rule	27_ref_103_rule_proptransfrom_27_ref_104_rule	27_ref_103_rule_proptransfrom_Highlighted bars	27_ref_103_rule_stddevfixationduration	27_ref_103_rule_timetofirstfixation	27_ref_103_rule_timetolastfixation	27_ref_103_rule_totaltimespent	Highlighted bars_fixationrate	Highlighted bars_longestfixation	Highlighted bars_meanfixationduration	Highlighted bars_numfixations	Highlighted bars_numtransfrom_27_ref_102_rule	Highlighted bars_numtransfrom_27_ref_103_rule	Highlighted bars_numtransfrom_27_ref_104_rule	Highlighted bars_numtransfrom_Highlighted bars	Highlighted bars_proportionnum	Highlighted bars_proportiontime	Highlighted bars_proptransfrom_27_ref_102_rule	Highlighted bars_proptransfrom_27_ref_103_rule	Highlighted bars_proptransfrom_27_ref_104_rule	Highlighted bars_proptransfrom_Highlighted bars	Highlighted bars_stddevfixationduration	Highlighted bars_timetofirstfixation	Highlighted bars_timetolastfixation	Highlighted bars_totaltimespent
msnv60_allsc	[('Highlighted bars', 424732, 142), ('27_ref_103_rule', 424732, 142), ('Highlighted bars', 424890, 383), ('27_ref_103_rule', 424890, 383)]	-1	-1	-1	0	0	0	0	0	0.0	0.0	0	0	0	0	0	-1	-1	0	-1	-1	-1	0	0	0	0	0	0.0	0.0	0	0	0	0	0	-1	-1	0	0.00380952380952	383	262	2	0	1	0	1	0.000847816871556	0.000848874473294	0.0	0.5	0.0	0.5	170.414201286	-1	381585	525	0.00380952380952	383	262	2	0	1	0	1	0.000847816871556	0.000848874473294	0.0	0.5	0.0	0.5	170.414201286	-1	381585	525
11	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0
27	[('Highlighted bars', 424732, 142), ('27_ref_103_rule', 424732, 142), ('Highlighted bars', 424890, 383), ('27_ref_103_rule', 424890, 383)]	0	-1	-1	0	0	0	0	0	0	0.0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0.0	0	0	0	0	0	-1	-1	0	0.00380952380952	383	262.5	2	0	1	0	1	0.0175438596491	0.0116770462633	0.0	0.5	0.0	0.5	170.412734266	15273	15431	525	0.00380952380952	383	262.5	2	0	1	0	1	0.0175438596491	0.0116770462633	0.0	0.5	0.0	0.5	170.412734266	15273	15431	525
20	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0
30	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0
28	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0
62	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0
60	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0
76	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0
3	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0
