Sc_id	aoisequence	72_ref_100_rule_fixationrate	72_ref_100_rule_longestfixation	72_ref_100_rule_meanfixationduration	72_ref_100_rule_numfixations	72_ref_100_rule_numtransfrom_72_ref_100_rule	72_ref_100_rule_numtransfrom_72_ref_102_rule	72_ref_100_rule_numtransfrom_Highlighted bars	72_ref_100_rule_proportionnum	72_ref_100_rule_proportiontime	72_ref_100_rule_proptransfrom_72_ref_100_rule	72_ref_100_rule_proptransfrom_72_ref_102_rule	72_ref_100_rule_proptransfrom_Highlighted bars	72_ref_100_rule_stddevfixationduration	72_ref_100_rule_timetofirstfixation	72_ref_100_rule_timetolastfixation	72_ref_100_rule_totaltimespent	72_ref_102_rule_fixationrate	72_ref_102_rule_longestfixation	72_ref_102_rule_meanfixationduration	72_ref_102_rule_numfixations	72_ref_102_rule_numtransfrom_72_ref_100_rule	72_ref_102_rule_numtransfrom_72_ref_102_rule	72_ref_102_rule_numtransfrom_Highlighted bars	72_ref_102_rule_proportionnum	72_ref_102_rule_proportiontime	72_ref_102_rule_proptransfrom_72_ref_100_rule	72_ref_102_rule_proptransfrom_72_ref_102_rule	72_ref_102_rule_proptransfrom_Highlighted bars	72_ref_102_rule_stddevfixationduration	72_ref_102_rule_timetofirstfixation	72_ref_102_rule_timetolastfixation	72_ref_102_rule_totaltimespent	Highlighted bars_fixationrate	Highlighted bars_longestfixation	Highlighted bars_meanfixationduration	Highlighted bars_numfixations	Highlighted bars_numtransfrom_72_ref_100_rule	Highlighted bars_numtransfrom_72_ref_102_rule	Highlighted bars_numtransfrom_Highlighted bars	Highlighted bars_proportionnum	Highlighted bars_proportiontime	Highlighted bars_proptransfrom_72_ref_100_rule	Highlighted bars_proptransfrom_72_ref_102_rule	Highlighted bars_proptransfrom_Highlighted bars	Highlighted bars_stddevfixationduration	Highlighted bars_timetofirstfixation	Highlighted bars_timetolastfixation	Highlighted bars_totaltimespent
msnv60_allsc	[('72_ref_100_rule', 494916, 208), ('Highlighted bars', 494916, 208), ('72_ref_100_rule', 496531, 125), ('Highlighted bars', 496531, 125), ('Highlighted bars', 502527, 366), ('72_ref_102_rule', 502527, 366), ('Highlighted bars', 504626, 75), ('72_ref_102_rule', 504626, 75), ('Highlighted bars', 504709, 125), ('72_ref_102_rule', 504709, 125), ('Highlighted bars', 505500, 125), ('72_ref_102_rule', 505500, 125)]	0.00600600600601	208	166	2	0	0	0	0.000847816871556	0.000538428951632	0	0	0	58.6941223633	-1	453226	333	0.00578871201158	366	172	4	0	1	1	0.00169563374311	0.00111728049723	0.0	0.5	0.5	130.974552236	-1	462195	691	0.005859375	366	170	6	0	1	1	0.00254345061467	0.00165570944886	0.0	0.5	0.5	104.842739377	-1	462195	1024
11	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
27	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
20	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
30	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
28	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
62	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
60	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
76	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
3	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
74	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
5	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
72	[('72_ref_100_rule', 494916, 208), ('Highlighted bars', 494916, 208), ('72_ref_100_rule', 496531, 125), ('Highlighted bars', 496531, 125), ('Highlighted bars', 502527, 366), ('72_ref_102_rule', 502527, 366), ('Highlighted bars', 504626, 75), ('72_ref_102_rule', 504626, 75), ('Highlighted bars', 504709, 125), ('72_ref_102_rule', 504709, 125), ('Highlighted bars', 505500, 125), ('72_ref_102_rule', 505500, 125)]	0.00600600600601	208	166.5	2	0	0	0	0.0135135135135	0.00659967893454	0	0	0	58.6898628385	25924	27539	333	0.00578871201158	366	172.75	4	0	1	1	0.030303030303	0.0136948292606	0.0	0.5	0.5	130.971689053	33535	36508	691	0.005859375	366	170.666666667	6	0	1	1	0.0405405405405	0.0202945081951	0.0	0.5	0.5	104.840195854	25924	36508	1024
66	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
9	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
msnv63_allsc	[('72_ref_100_rule', 74221, 208), ('Highlighted bars', 74221, 208), ('72_ref_100_rule', 83157, 550), ('Highlighted bars', 83157, 550), ('72_ref_100_rule', 83723, 233), ('Highlighted bars', 83723, 233), ('72_ref_100_rule', 91659, 167), ('Highlighted bars', 91659, 167), ('72_ref_100_rule', 92575, 375), ('Highlighted bars', 92575, 375), ('72_ref_100_rule', 93342, 383), ('Highlighted bars', 93342, 383), ('Highlighted bars', 95865, 208), ('72_ref_102_rule', 95865, 208), ('Highlighted bars', 96514, 483), ('72_ref_102_rule', 96514, 483), ('Highlighted bars', 97014, 166), ('72_ref_102_rule', 97014, 166)]	0.00313152400835	550	319.333333333	6	1	0	1	0.0361445783133	0.0324146915021	0.5	0.0	0.5	143.814695587	32735	51856	1916	0.00350058343057	483	285.666666667	3	0	1	1	0.0211267605634	0.0144986381093	0.0	0.5	0.5	172.181106203	54379	55528	857	0.00324558240173	550	308.111111111	9	1	1	2	0.0542168674699	0.0469133296114	0.25	0.25	0.5	143.602267082	32735	55528	2773
11	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
27	[]	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
