,sc_id,msnv_id,intervention,seg_start_stamp,trigger_start_stamp,fade_stamp,seg_end_stamp,firstfixation_stamp,trigger_delay,numfixations,timetofirstfixation,trigger_to_fixation_time,imm_processed
0,2,3,3_ref_106_rule,682955,689819.0,700002.0,743171,723534.0,6864.0,7.0,40579.0,33715.0,0
1,2,3,3_ref_101_rule,682955,700002.0,704499.0,743171,732361.0,17047.0,2.0,49406.0,32359.0,0
2,2,3,3_ref_100_rule,682955,704499.0,710869.0,743171,-1.0,21544.0,0.0,-1.0,,0
3,2,3,3_ref_105_rule,682955,710869.0,716506.0,743171,729072.0,27914.0,3.0,46117.0,18203.0,0
5,2,5,5_ref_100_rule,549675,568299.0,578191.0,643899,608617.0,18624.0,10.0,58942.0,40318.0,0
6,2,5,5_ref_101_rule,549675,578191.0,582712.0,643899,608475.0,28516.0,4.0,58800.0,30284.0,0
7,2,5,5_ref_103_rule,549675,582712.0,589723.0,643899,625430.0,33037.0,18.0,75755.0,42718.0,0
9,2,9,9_ref_101_rule,904609,914665.0,922750.0,959986,933180.0,10056.0,11.0,28571.0,18515.0,0
12,2,20,20_ref_100_rule,857633,862782.0,870542.0,891226,876337.0,5149.0,8.0,18704.0,13555.0,0
14,2,27,27_ref_103_rule,773225,792321.0,803762.0,832650,809466.0,19096.0,5.0,36241.0,17145.0,0
16,2,28,28_ref_100_rule,313555,321936.0,326016.0,370475,341377.0,8381.0,7.0,27822.0,19441.0,0
17,2,28,28_ref_101_rule,313555,326016.0,336108.0,370475,340910.0,12461.0,4.0,27355.0,14894.0,0
20,2,60,60_ref_101_rule,1220921,1228483.0,1234986.0,1255347,1248002.0,7562.0,3.0,27081.0,19519.0,0
22,2,62,62_ref_100_rule,1062465,1075629.0,1085188.0,1131067,1127319.0,13164.0,2.0,64854.0,51690.0,0
24,2,66,66_ref_101_rule,407427,430925.0,435621.0,462291,439338.0,23498.0,2.0,31911.0,8413.0,0
