sc_id,msnv_id,num_imm_processed,num_triggered,imm_processed/triggered
2,3,0,5,0.0
2,5,1,4,0.25
2,9,1,2,0.5
2,11,1,1,1.0
2,20,1,2,0.5
2,27,1,2,0.5
2,28,1,3,0.3333333333333333
2,30,1,1,1.0
2,60,1,2,0.5
2,62,1,2,0.5
2,66,1,2,0.5
2,72,1,2,0.5
2,74,1,1,1.0
4,3,1,6,0.16666666666666666
4,5,1,4,0.25
4,9,1,2,0.5
4,11,1,1,1.0
4,20,1,2,0.5
4,27,2,3,0.6666666666666666
4,28,1,4,0.25
4,30,1,1,1.0
4,60,1,2,0.5
4,62,1,1,1.0
4,66,1,2,0.5
4,72,1,2,0.5
4,74,1,1,1.0
5,3,1,6,0.16666666666666666
5,5,1,4,0.25
5,9,1,2,0.5
5,11,1,1,1.0
5,20,1,2,0.5
5,27,1,3,0.3333333333333333
5,28,2,4,0.5
5,30,1,1,1.0
5,60,1,2,0.5
5,62,2,2,1.0
5,66,1,2,0.5
5,72,1,2,0.5
5,74,1,1,1.0
6,3,1,6,0.16666666666666666
6,5,3,4,0.75
6,9,1,2,0.5
6,20,1,2,0.5
6,27,1,3,0.3333333333333333
6,28,1,3,0.3333333333333333
6,30,1,1,1.0
6,60,1,2,0.5
6,66,1,2,0.5
6,72,1,1,1.0
6,74,0,1,0.0
9,3,0,6,0.0
9,5,1,4,0.25
9,9,2,2,1.0
9,11,1,1,1.0
9,20,1,2,0.5
9,27,1,3,0.3333333333333333
9,28,1,4,0.25
9,30,1,1,1.0
9,60,1,2,0.5
9,62,1,2,0.5
9,66,1,2,0.5
9,72,1,2,0.5
9,74,1,1,1.0
10,3,1,6,0.16666666666666666
10,5,1,4,0.25
10,9,1,2,0.5
10,11,1,1,1.0
10,20,1,2,0.5
10,27,1,3,0.3333333333333333
10,28,1,4,0.25
10,30,1,1,1.0
10,60,1,2,0.5
10,62,1,2,0.5
10,66,1,2,0.5
10,72,1,2,0.5
10,74,1,1,1.0
12,3,1,6,0.16666666666666666
12,5,1,4,0.25
12,9,1,2,0.5
12,11,0,1,0.0
12,27,0,3,0.0
12,28,1,4,0.25
12,30,0,1,0.0
12,62,1,2,0.5
12,66,0,0,
12,72,1,2,0.5
12,74,1,1,1.0
13,3,3,6,0.5
13,5,1,1,1.0
13,9,1,2,0.5
13,11,1,1,1.0
13,20,2,2,1.0
13,27,2,3,0.6666666666666666
13,28,1,4,0.25
13,30,1,1,1.0
13,60,1,2,0.5
13,62,1,2,0.5
13,66,1,2,0.5
13,72,1,2,0.5
13,74,1,1,1.0
14,3,1,6,0.16666666666666666
14,5,2,3,0.6666666666666666
14,9,2,2,1.0
14,11,1,1,1.0
14,20,1,2,0.5
14,27,1,3,0.3333333333333333
14,28,1,3,0.3333333333333333
14,30,1,1,1.0
14,60,1,2,0.5
14,62,1,2,0.5
14,66,1,1,1.0
14,72,0,2,0.0
14,74,1,1,1.0
15,3,1,6,0.16666666666666666
15,5,1,4,0.25
15,9,1,2,0.5
15,11,1,1,1.0
15,20,1,2,0.5
15,27,1,3,0.3333333333333333
15,28,1,4,0.25
15,30,1,1,1.0
15,60,1,2,0.5
15,62,2,2,1.0
15,66,1,1,1.0
15,72,1,2,0.5
15,74,1,1,1.0
17,3,1,2,0.5
17,5,0,2,0.0
17,9,1,1,1.0
17,11,1,1,1.0
17,20,1,2,0.5
17,27,1,2,0.5
17,28,1,3,0.3333333333333333
17,30,1,1,1.0
17,60,1,2,0.5
17,62,1,2,0.5
17,66,1,1,1.0
17,72,1,2,0.5
17,74,1,1,1.0
18,3,1,5,0.2
18,5,1,4,0.25
18,9,1,1,1.0
18,11,1,1,1.0
18,20,1,2,0.5
18,27,1,3,0.3333333333333333
18,28,0,3,0.0
18,30,1,1,1.0
18,60,2,2,1.0
18,62,1,1,1.0
18,66,1,1,1.0
18,72,1,2,0.5
18,74,1,1,1.0
20,3,0,6,0.0
20,5,2,4,0.5
20,9,0,2,0.0
20,11,1,1,1.0
20,20,0,2,0.0
20,27,1,3,0.3333333333333333
20,28,0,4,0.0
20,30,1,1,1.0
20,60,1,2,0.5
20,62,0,2,0.0
20,66,0,2,0.0
20,72,0,2,0.0
20,74,0,1,0.0
21,3,2,6,0.3333333333333333
21,5,1,4,0.25
21,9,1,2,0.5
