sc_id,msnv_id,num_processed,num_triggered,total,processed/triggered,triggered/total,processed/total
2,3,3,4,6,0.75,0.6666666666666666,0.5
2,5,3,3,4,1.0,0.75,0.75
2,9,1,1,2,1.0,0.5,0.5
2,20,1,1,2,1.0,0.5,0.5
2,27,1,1,3,1.0,0.3333333333333333,0.3333333333333333
2,28,2,2,4,1.0,0.5,0.5
2,60,1,1,2,1.0,0.5,0.5
2,62,1,1,2,1.0,0.5,0.5
2,66,1,1,2,1.0,0.5,0.5
2,72,0,1,2,0.0,0.5,0.0
4,3,5,5,6,1.0,0.8333333333333334,0.8333333333333334
4,5,3,3,4,1.0,0.75,0.75
4,9,1,1,2,1.0,0.5,0.5
4,20,1,1,2,1.0,0.5,0.5
4,27,2,2,3,1.0,0.6666666666666666,0.6666666666666666
4,28,3,3,4,1.0,0.75,0.75
4,60,1,1,2,1.0,0.5,0.5
4,66,1,1,2,1.0,0.5,0.5
4,72,1,1,2,1.0,0.5,0.5
5,3,5,5,6,1.0,0.8333333333333334,0.8333333333333334
5,5,3,3,4,1.0,0.75,0.75
5,9,1,1,2,1.0,0.5,0.5
5,20,1,1,2,1.0,0.5,0.5
5,27,2,2,3,1.0,0.6666666666666666,0.6666666666666666
5,28,2,3,4,0.6666666666666666,0.75,0.5
5,60,1,1,2,1.0,0.5,0.5
5,62,1,1,2,1.0,0.5,0.5
5,66,1,1,2,1.0,0.5,0.5
5,72,1,1,2,1.0,0.5,0.5
6,3,3,5,6,0.6,0.8333333333333334,0.5
6,5,3,3,4,1.0,0.75,0.75
6,9,1,1,2,1.0,0.5,0.5
6,20,1,1,2,1.0,0.5,0.5
6,27,2,2,3,1.0,0.6666666666666666,0.6666666666666666
6,28,0,2,4,0.0,0.5,0.0
6,60,1,1,2,1.0,0.5,0.5
6,66,1,1,2,1.0,0.5,0.5
9,3,4,5,6,0.8,0.8333333333333334,0.6666666666666666
9,5,3,3,4,1.0,0.75,0.75
9,9,1,1,2,1.0,0.5,0.5
9,20,1,1,2,1.0,0.5,0.5
9,27,2,2,3,1.0,0.6666666666666666,0.6666666666666666
9,28,3,3,4,1.0,0.75,0.75
