sc_id,msnv_id,num_imm_processed,num_triggered,imm_processed/triggered
2,3,0,4,0.0
2,5,0,3,0.0
2,9,0,1,0.0
2,20,0,1,0.0
2,27,0,1,0.0
2,28,0,2,0.0
2,60,0,1,0.0
2,62,0,1,0.0
2,66,0,1,0.0
2,72,0,1,0.0
4,3,0,5,0.0
4,5,0,3,0.0
4,9,0,1,0.0
4,20,0,1,0.0
4,27,1,2,0.5
4,28,0,3,0.0
4,60,0,1,0.0
4,66,0,1,0.0
4,72,0,1,0.0
5,3,0,5,0.0
5,5,1,3,0.3333333333333333
5,9,0,1,0.0
5,20,0,1,0.0
5,27,1,2,0.5
5,28,1,3,0.3333333333333333
5,60,1,1,1.0
5,62,1,1,1.0
5,66,0,1,0.0
5,72,0,1,0.0
6,3,0,5,0.0
6,5,2,3,0.6666666666666666
6,9,0,1,0.0
6,20,0,1,0.0
6,27,0,2,0.0
6,28,0,2,0.0
6,60,0,1,0.0
6,66,0,1,0.0
9,3,0,5,0.0
9,5,0,3,0.0
9,9,1,1,1.0
9,20,0,1,0.0
9,27,0,2,0.0
9,28,0,3,0.0
9,60,0,1,0.0
9,62,0,1,0.0
9,66,0,1,0.0
9,72,0,1,0.0
10,3,0,5,0.0
10,5,0,3,0.0
10,9,0,1,0.0
10,20,0,1,0.0
10,27,0,2,0.0
10,28,0,3,0.0
10,60,0,1,0.0
10,62,0,1,0.0
10,66,0,1,0.0
10,72,0,1,0.0
12,3,1,5,0.2
12,5,1,3,0.3333333333333333
12,9,0,1,0.0
12,27,0,2,0.0
12,28,0,3,0.0
12,62,0,1,0.0
12,66,0,0,
12,72,0,1,0.0
13,3,2,5,0.4
13,9,0,1,0.0
13,20,1,1,1.0
13,27,1,2,0.5
13,28,0,3,0.0
13,60,0,1,0.0
13,62,0,1,0.0
13,66,0,1,0.0
13,72,0,1,0.0
14,3,1,5,0.2
14,5,1,2,0.5
14,9,1,1,1.0
14,20,0,1,0.0
14,27,1,2,0.5
14,28,0,2,0.0
14,60,0,1,0.0
14,62,0,1,0.0
14,72,0,1,0.0
15,3,0,5,0.0
15,5,0,3,0.0
15,9,0,1,0.0
15,20,0,1,0.0
15,27,0,2,0.0
15,28,0,3,0.0
15,60,0,1,0.0
15,62,1,1,1.0
15,72,0,1,0.0
17,3,0,1,0.0
17,5,0,1,0.0
17,20,0,1,0.0
17,27,0,1,0.0
17,28,0,2,0.0
17,60,0,1,0.0
17,62,0,1,0.0
