,sc_id,msnv_id,intervention,seg_start_stamp,trigger_start_stamp,seg_end_stamp,trigger_delay,numfixations,timetofirstfixation,trigger_to_fixation_time
0,2,11,11_ref_101_rule,149555,160663.0,203483,11108.0,6.0,37290.0,26182.0
1,2,74,74_ref_101_rule,250435,272949.0,300811,22514.0,1.0,43827.0,21313.0
2,2,28,28_ref_100_rule,313555,321936.0,370475,8381.0,7.0,27822.0,19441.0
3,2,28,28_ref_101_rule,313555,326016.0,370475,12461.0,4.0,27355.0,14894.0
4,2,28,28_ref_104_rule,313555,336108.0,370475,22553.0,2.0,43336.0,20783.0
5,2,66,66_ref_101_rule,407427,430925.0,462291,23498.0,2.0,31911.0,8413.0
6,2,66,66_ref_100_rule,407427,435621.0,462291,28194.0,5.0,30987.0,2793.0
7,2,76,76_ref_101_rule,482515,489012.0,532955,6497.0,,,
8,2,76,76_ref_100_rule,482515,500661.0,532955,18146.0,,,
9,2,5,5_ref_100_rule,549675,568299.0,643899,18624.0,10.0,58942.0,40318.0
10,2,5,5_ref_101_rule,549675,578191.0,643899,28516.0,4.0,58800.0,30284.0
11,2,5,5_ref_103_rule,549675,582712.0,643899,33037.0,18.0,75755.0,42718.0
12,2,5,5_ref_104_rule,549675,589723.0,643899,40048.0,1.0,82042.0,41994.0
13,2,3,3_ref_106_rule,682955,689819.0,743171,6864.0,7.0,40579.0,33715.0
14,2,3,3_ref_101_rule,682955,700002.0,743171,17047.0,2.0,49406.0,32359.0
15,2,3,3_ref_100_rule,682955,704499.0,743171,21544.0,0.0,-1.0,
16,2,3,3_ref_105_rule,682955,710869.0,743171,27914.0,3.0,46117.0,18203.0
17,2,3,3_ref_102_rule,682955,716506.0,743171,33551.0,0.0,-1.0,
18,2,27,27_ref_103_rule,773225,792321.0,832650,19096.0,5.0,36241.0,17145.0
19,2,27,27_ref_104_rule,773225,803762.0,832650,30537.0,5.0,49624.0,19087.0
20,2,20,20_ref_100_rule,857633,862782.0,891226,5149.0,8.0,18704.0,13555.0
21,2,20,20_ref_101_rule,857633,870542.0,891226,12909.0,10.0,25091.0,12182.0
22,2,9,9_ref_101_rule,904609,914665.0,959986,10056.0,11.0,28571.0,18515.0
23,2,9,9_ref_100_rule,904609,922750.0,959986,18141.0,6.0,39214.0,21073.0
24,2,72,72_ref_100_rule,982238,991063.0,1047351,8825.0,0.0,-1.0,
25,2,72,72_ref_102_rule,982238,998998.0,1047351,16760.0,2.0,42787.0,26027.0
26,2,62,62_ref_100_rule,1062465,1075629.0,1131067,13164.0,2.0,64854.0,51690.0
27,2,62,62_ref_101_rule,1062465,1085188.0,1131067,22723.0,2.0,66345.0,43622.0
28,2,30,30_ref_100_rule,1158690,1164334.0,1204599,5644.0,13.0,15064.0,9420.0
29,2,60,60_ref_101_rule,1220921,1228483.0,1255347,7562.0,3.0,27081.0,19519.0
30,2,60,60_ref_100_rule,1220921,1234986.0,1255347,14065.0,13.0,20919.0,6854.0
31,4,30,30_ref_100_rule,54633,64920.0,122510,10287.0,28.0,23217.0,12930.0
32,4,27,27_ref_103_rule,170462,195061.0,232129,24599.0,9.0,25800.0,1201.0
33,4,27,27_ref_102_rule,170462,202513.0,232129,32051.0,3.0,52856.0,20805.0
