,sc_id,msnv_id,intervention,seg_start_stamp,,trigger_start_stamp,,seg_end_stamp,,trigger_delay,numfixations,timetofirstfixation,,trigger_to_fixation_time,
0,2,3,3_ref_100_rule,682955,12:11:23 AM,704499,12:11:44 AM,743171,12:12:23 AM,21544,0,-1,12:11:23 AM,,
1,2,3,3_ref_101_rule,682955,12:11:23 AM,700002,12:11:40 AM,743171,12:12:23 AM,17047,2,49406,12:12:12 AM,32359,12:00:32 AM
2,2,3,3_ref_102_rule,682955,12:11:23 AM,716506,12:11:57 AM,743171,12:12:23 AM,33551,0,-1,12:11:23 AM,,12:00:00 AM
3,2,3,3_ref_105_rule,682955,12:11:23 AM,710869,12:11:51 AM,743171,12:12:23 AM,27914,3,46117,12:12:09 AM,18203,12:00:18 AM
4,2,3,3_ref_106_rule,682955,12:11:23 AM,689819,12:11:30 AM,743171,12:12:23 AM,6864,7,40579,12:12:04 AM,33715,12:00:34 AM
5,2,5,5_ref_100_rule,549675,12:09:10 AM,568299,12:09:28 AM,643899,12:10:44 AM,18624,10,58942,12:10:09 AM,40318,12:00:40 AM
6,2,5,5_ref_101_rule,549675,12:09:10 AM,578191,12:09:38 AM,643899,12:10:44 AM,28516,4,58800,12:10:08 AM,30284,12:00:30 AM
7,2,5,5_ref_103_rule,549675,12:09:10 AM,582712,12:09:43 AM,643899,12:10:44 AM,33037,18,75755,12:10:25 AM,42718,12:00:43 AM
8,2,5,5_ref_104_rule,549675,12:09:10 AM,589723,12:09:50 AM,643899,12:10:44 AM,40048,1,82042,12:10:32 AM,41994,12:00:42 AM
9,2,9,9_ref_100_rule,904609,12:15:05 AM,922750,12:15:23 AM,959986,12:16:00 AM,18141,6,39214,12:15:44 AM,21073,12:00:21 AM
10,2,9,9_ref_101_rule,904609,12:15:05 AM,914665,12:15:15 AM,959986,12:16:00 AM,10056,11,28571,12:15:33 AM,18515,12:00:19 AM
11,2,11,11_ref_101_rule,149555,12:02:30 AM,160663,12:02:41 AM,203483,12:03:23 AM,11108,6,37290,12:03:07 AM,26182,12:00:26 AM
12,2,20,20_ref_100_rule,857633,12:14:18 AM,862782,12:14:23 AM,891226,12:14:51 AM,5149,8,18704,12:14:36 AM,13555,12:00:14 AM
13,2,20,20_ref_101_rule,857633,12:14:18 AM,870542,12:14:31 AM,891226,12:14:51 AM,12909,10,25091,12:14:43 AM,12182,12:00:12 AM
14,2,27,27_ref_103_rule,773225,12:12:53 AM,792321,12:13:12 AM,832650,12:13:53 AM,19096,5,36241,12:13:29 AM,17145,12:00:17 AM
15,2,27,27_ref_104_rule,773225,12:12:53 AM,803762,12:13:24 AM,832650,12:13:53 AM,30537,5,49624,12:13:43 AM,19087,12:00:19 AM
16,2,28,28_ref_100_rule,313555,12:05:14 AM,321936,12:05:22 AM,370475,12:06:10 AM,8381,7,27822,12:05:41 AM,19441,12:00:19 AM
17,2,28,28_ref_101_rule,313555,12:05:14 AM,326016,12:05:26 AM,370475,12:06:10 AM,12461,4,27355,12:05:41 AM,14894,12:00:15 AM
18,2,28,28_ref_104_rule,313555,12:05:14 AM,336108,12:05:36 AM,370475,12:06:10 AM,22553,2,43336,12:05:57 AM,20783,12:00:21 AM
19,2,30,30_ref_100_rule,1158690,12:19:19 AM,1164334,12:19:24 AM,1204599,12:20:05 AM,5644,13,15064,12:19:34 AM,9420,12:00:09 AM
20,2,60,60_ref_100_rule,1220921,12:20:21 AM,1234986,12:20:35 AM,1255347,12:20:55 AM,14065,13,20919,12:20:42 AM,6854,12:00:07 AM
21,2,60,60_ref_101_rule,1220921,12:20:21 AM,1228483,12:20:28 AM,1255347,12:20:55 AM,7562,3,27081,12:20:48 AM,19519,12:00:20 AM
22,2,62,62_ref_100_rule,1062465,12:17:42 AM,1075629,12:17:56 AM,1131067,12:18:51 AM,13164,2,64854,12:18:47 AM,51690,12:00:52 AM
23,2,62,62_ref_101_rule,1062465,12:17:42 AM,1085188,12:18:05 AM,1131067,12:18:51 AM,22723,2,66345,12:18:49 AM,43622,12:00:44 AM
24,2,66,66_ref_100_rule,407427,12:06:47 AM,435621,12:07:16 AM,462291,12:07:42 AM,28194,5,30987,12:07:18 AM,2793,12:00:03 AM
