,sc_id,msnv_id,intervention,seg_start_stamp,trigger_start_stamp,fade_stamp,seg_end_stamp,firstfixation_stamp,trigger_delay,numfixations,timetofirstfixation,trigger_to_fixation_time,imm_processed
0,2,3,3_ref_106_rule,682955,689819.0,700002.0,743171,723534.0,6864.0,7.0,40579.0,33715.0,0
1,2,3,3_ref_101_rule,682955,700002.0,704499.0,743171,732361.0,17047.0,2.0,49406.0,32359.0,0
2,2,3,3_ref_100_rule,682955,704499.0,710869.0,743171,-1.0,21544.0,0.0,-1.0,,0
3,2,3,3_ref_105_rule,682955,710869.0,716506.0,743171,729072.0,27914.0,3.0,46117.0,18203.0,0
4,2,3,3_ref_102_rule,682955,716506.0,743171.0,743171,-1.0,33551.0,0.0,-1.0,,0
5,2,5,5_ref_100_rule,549675,568299.0,578191.0,643899,608617.0,18624.0,10.0,58942.0,40318.0,0
6,2,5,5_ref_101_rule,549675,578191.0,582712.0,643899,608475.0,28516.0,4.0,58800.0,30284.0,0
7,2,5,5_ref_103_rule,549675,582712.0,589723.0,643899,625430.0,33037.0,18.0,75755.0,42718.0,0
8,2,5,5_ref_104_rule,549675,589723.0,643899.0,643899,631717.0,40048.0,1.0,82042.0,41994.0,1
9,2,9,9_ref_101_rule,904609,914665.0,922750.0,959986,933180.0,10056.0,11.0,28571.0,18515.0,0
10,2,9,9_ref_100_rule,904609,922750.0,959986.0,959986,943823.0,18141.0,6.0,39214.0,21073.0,1
11,2,11,11_ref_101_rule,149555,160663.0,203483.0,203483,186845.0,11108.0,6.0,37290.0,26182.0,1
12,2,20,20_ref_100_rule,857633,862782.0,870542.0,891226,876337.0,5149.0,8.0,18704.0,13555.0,0
13,2,20,20_ref_101_rule,857633,870542.0,891226.0,891226,882724.0,12909.0,10.0,25091.0,12182.0,1
14,2,27,27_ref_103_rule,773225,792321.0,803762.0,832650,809466.0,19096.0,5.0,36241.0,17145.0,0
