sc_id,msnv_id,num_processed,num_triggered,total,processed/triggered,triggered/total,processed/total
2,3,3,5,6,0.6,0.8333333333333334,0.5
2,5,4,4,4,1.0,1.0,1.0
2,9,2,2,2,1.0,1.0,1.0
2,11,1,1,1,1.0,1.0,1.0
2,20,2,2,2,1.0,1.0,1.0
2,27,2,2,3,1.0,0.6666666666666666,0.6666666666666666
2,28,3,3,4,1.0,0.75,0.75
2,30,1,1,1,1.0,1.0,1.0
2,60,2,2,2,1.0,1.0,1.0
2,62,2,2,2,1.0,1.0,1.0
2,66,2,2,2,1.0,1.0,1.0
2,72,1,2,2,0.5,1.0,0.5
2,74,1,1,1,1.0,1.0,1.0
4,3,6,6,6,1.0,1.0,1.0
4,5,4,4,4,1.0,1.0,1.0
4,9,2,2,2,1.0,1.0,1.0
4,11,1,1,1,1.0,1.0,1.0
4,20,2,2,2,1.0,1.0,1.0
4,27,3,3,3,1.0,1.0,1.0
4,28,4,4,4,1.0,1.0,1.0
4,30,1,1,1,1.0,1.0,1.0
4,60,2,2,2,1.0,1.0,1.0
4,62,1,1,2,1.0,0.5,0.5
4,66,2,2,2,1.0,1.0,1.0
4,72,2,2,2,1.0,1.0,1.0
4,74,1,1,1,1.0,1.0,1.0
5,3,6,6,6,1.0,1.0,1.0
5,5,3,4,4,0.75,1.0,0.75
5,9,2,2,2,1.0,1.0,1.0
5,11,1,1,1,1.0,1.0,1.0
5,20,2,2,2,1.0,1.0,1.0
5,27,2,3,3,0.6666666666666666,1.0,0.6666666666666666
5,28,3,4,4,0.75,1.0,0.75
5,30,1,1,1,1.0,1.0,1.0
5,60,1,2,2,0.5,1.0,0.5
5,62,2,2,2,1.0,1.0,1.0
5,66,2,2,2,1.0,1.0,1.0
5,72,2,2,2,1.0,1.0,1.0
5,74,1,1,1,1.0,1.0,1.0
6,3,4,6,6,0.6666666666666666,1.0,0.6666666666666666
6,5,4,4,4,1.0,1.0,1.0
6,9,2,2,2,1.0,1.0,1.0
6,20,2,2,2,1.0,1.0,1.0
6,27,3,3,3,1.0,1.0,1.0
6,28,1,3,4,0.3333333333333333,0.75,0.25
6,30,1,1,1,1.0,1.0,1.0
6,60,2,2,2,1.0,1.0,1.0
6,66,2,2,2,1.0,1.0,1.0
6,72,1,1,2,1.0,0.5,0.5
6,74,0,1,1,0.0,1.0,0.0
9,3,4,6,6,0.6666666666666666,1.0,0.6666666666666666
9,5,4,4,4,1.0,1.0,1.0
9,9,2,2,2,1.0,1.0,1.0
9,11,1,1,1,1.0,1.0,1.0
9,20,2,2,2,1.0,1.0,1.0
9,27,3,3,3,1.0,1.0,1.0
9,28,4,4,4,1.0,1.0,1.0
9,30,1,1,1,1.0,1.0,1.0
9,60,2,2,2,1.0,1.0,1.0
9,62,2,2,2,1.0,1.0,1.0
9,66,2,2,2,1.0,1.0,1.0
9,72,2,2,2,1.0,1.0,1.0
9,74,1,1,1,1.0,1.0,1.0
10,3,6,6,6,1.0,1.0,1.0
10,5,4,4,4,1.0,1.0,1.0
10,9,2,2,2,1.0,1.0,1.0
10,11,1,1,1,1.0,1.0,1.0
10,20,2,2,2,1.0,1.0,1.0
10,27,3,3,3,1.0,1.0,1.0
10,28,4,4,4,1.0,1.0,1.0
10,30,1,1,1,1.0,1.0,1.0
10,60,2,2,2,1.0,1.0,1.0
10,62,2,2,2,1.0,1.0,1.0
10,66,2,2,2,1.0,1.0,1.0
10,72,2,2,2,1.0,1.0,1.0
10,74,1,1,1,1.0,1.0,1.0
12,3,3,6,6,0.5,1.0,0.5
12,5,2,4,4,0.5,1.0,0.5
12,9,2,2,2,1.0,1.0,1.0
12,11,0,1,1,0.0,1.0,0.0
12,27,0,3,3,0.0,1.0,0.0
12,28,4,4,4,1.0,1.0,1.0
12,30,0,1,1,0.0,1.0,0.0
12,62,2,2,2,1.0,1.0,1.0
12,66,0,0,2,,0.0,0.0
12,72,1,2,2,0.5,1.0,0.5
12,74,1,1,1,1.0,1.0,1.0
13,3,4,6,6,0.6666666666666666,1.0,0.6666666666666666
13,5,1,1,4,1.0,0.25,0.25
13,9,2,2,2,1.0,1.0,1.0
13,11,1,1,1,1.0,1.0,1.0
13,20,2,2,2,1.0,1.0,1.0
13,27,2,3,3,0.6666666666666666,1.0,0.6666666666666666
13,28,3,4,4,0.75,1.0,0.75
13,30,1,1,1,1.0,1.0,1.0
13,60,2,2,2,1.0,1.0,1.0
13,62,2,2,2,1.0,1.0,1.0
13,66,2,2,2,1.0,1.0,1.0
13,72,2,2,2,1.0,1.0,1.0
13,74,1,1,1,1.0,1.0,1.0
14,3,3,6,6,0.5,1.0,0.5
14,5,2,3,4,0.6666666666666666,0.75,0.5
14,9,2,2,2,1.0,1.0,1.0
14,11,1,1,1,1.0,1.0,1.0
14,20,2,2,2,1.0,1.0,1.0
14,27,1,3,3,0.3333333333333333,1.0,0.3333333333333333
14,28,2,3,4,0.6666666666666666,0.75,0.5
14,30,1,1,1,1.0,1.0,1.0
14,60,1,2,2,0.5,1.0,0.5
14,62,2,2,2,1.0,1.0,1.0
14,66,1,1,2,1.0,0.5,0.5
14,72,0,2,2,0.0,1.0,0.0
14,74,1,1,1,1.0,1.0,1.0
15,3,6,6,6,1.0,1.0,1.0
15,5,4,4,4,1.0,1.0,1.0
15,9,2,2,2,1.0,1.0,1.0
15,11,1,1,1,1.0,1.0,1.0
15,20,2,2,2,1.0,1.0,1.0
15,27,3,3,3,1.0,1.0,1.0
15,28,4,4,4,1.0,1.0,1.0
15,30,1,1,1,1.0,1.0,1.0
15,60,2,2,2,1.0,1.0,1.0
15,62,2,2,2,1.0,1.0,1.0
15,66,1,1,2,1.0,0.5,0.5
15,72,2,2,2,1.0,1.0,1.0
15,74,1,1,1,1.0,1.0,1.0
17,3,2,2,6,1.0,0.3333333333333333,0.3333333333333333
17,5,0,2,4,0.0,0.5,0.0
17,9,1,1,2,1.0,0.5,0.5
17,11,1,1,1,1.0,1.0,1.0
17,20,2,2,2,1.0,1.0,1.0
17,27,2,2,3,1.0,0.6666666666666666,0.6666666666666666
17,28,3,3,4,1.0,0.75,0.75
17,30,1,1,1,1.0,1.0,1.0
