sc_id,msnv_id,mean trigger_to_fixation_time,std trigger_to_fixation_time,count
2,11,26182.0,,1.0
2,74,21313.0,,1.0
2,28,18372.666666666668,3086.4352145044827,3.0
2,66,5603.0,3973.940110268397,2.0
2,76,,,0.0
2,5,38828.5,5784.337789813685,4.0
2,3,28092.333333333332,8591.208840048841,3.0
2,27,18116.0,1373.2013690642752,2.0
2,20,12868.5,970.8576105691297,2.0
2,9,19794.0,1808.7791462751886,2.0
2,72,26027.0,,1.0
2,62,47656.0,5704.937510613066,2.0
2,30,9420.0,,1.0
2,60,13186.5,8955.507383727625,2.0
4,30,12930.0,,1.0
4,27,8616.0,10638.256953091517,3.0
4,9,16619.0,1248.750575575443,2.0
4,72,19651.5,9815.349229650466,2.0
4,62,16123.0,,1.0
4,5,31377.5,3168.1265231468687,4.0
4,66,7469.5,376.8879143724298,2.0
4,20,16966.5,1506.8445507085328,2.0
4,3,23310.833333333332,11371.669805559193,6.0
4,60,12003.0,10504.77834130735,2.0
4,76,,,0.0
4,28,12891.5,3782.165561332996,4.0
4,11,23362.0,,1.0
4,74,3796.0,,1.0
5,20,18412.5,5763.627373451549,2.0
5,66,12241.0,4599.022504837305,2.0
5,11,15740.0,,1.0
5,76,,,0.0
5,9,10972.5,1931.1086194204613,2.0
5,30,11854.0,,1.0
5,28,5171.333333333333,4779.764882641544,3.0
5,74,11584.0,,1.0
5,3,18873.666666666668,11351.455548372054,6.0
5,62,11452.0,1629.1740238538055,2.0
5,60,3032.0,,1.0
5,27,9756.5,10386.691508849197,2.0
5,72,9787.5,8761.760125682511,2.0
5,5,23645.333333333332,31513.405565462668,3.0
6,66,6043.0,2626.1945853268376,2.0
6,27,12305.0,5084.925073194295,3.0
6,20,8609.0,1818.6786412118001,2.0
6,60,6347.0,783.4743135546946,2.0
6,9,8900.0,3268.2475426442224,2.0
6,3,13033.25,8787.315986693548,4.0
6,74,,,0.0
6,30,7475.0,,1.0
6,28,7405.0,,1.0
6,76,,,0.0
6,72,10324.0,,1.0
6,5,2604.25,1940.1928383539612,4.0
9,9,13068.0,15916.973644509184,2.0
9,30,27702.0,,1.0
9,72,36510.5,15656.05124225135,2.0
9,74,11835.0,,1.0
9,20,21204.0,3838.17560828058,2.0
9,60,17778.0,21037.840953862164,2.0
9,11,42607.0,,1.0
9,66,11971.5,3939.291877990256,2.0
9,76,,,0.0
9,3,57297.75,14599.398169673525,4.0
9,62,6039.0,3845.2466760924453,2.0
9,27,24293.666666666668,14007.089859543748,3.0
9,5,37427.25,25683.82418793328,4.0
9,28,14213.5,10162.299428115011,4.0
10,72,15081.5,1902.8243481729994,2.0
10,28,26927.0,1656.7168335797962,4.0
10,20,22553.5,5934.747214498693,2.0
10,11,43746.0,,1.0
10,74,10664.0,,1.0
10,5,76126.5,12052.115236200932,4.0
10,3,42293.5,26125.776166460586,6.0
10,62,67209.5,1571.8983745776952,2.0
10,66,14440.5,7607.761858786065,2.0
10,76,,,0.0
10,30,14986.0,,1.0
10,60,8952.5,10533.769719335998,2.0
10,27,28158.666666666668,14852.831694102419,3.0
10,9,21563.0,5663.925317304245,2.0
12,28,47487.25,36909.19002430153,4.0
12,62,13729.5,15551.399438635739,2.0
12,5,20416.5,27580.700000181285,2.0
12,74,7331.0,,1.0
12,76,,,0.0
12,3,39535.666666666664,30440.48227826447,3.0
12,9,19158.0,346.4823227814083,2.0
12,11,,,0.0
12,30,,,0.0
12,72,14318.0,,1.0
12,27,,,0.0
12,66,,,0.0
13,72,30397.5,4927.82715808905,2.0
13,9,45512.5,4179.708183593682,2.0
13,28,34282.666666666664,27943.669503723617,3.0
13,11,35864.0,,1.0
13,20,8388.0,8686.09970009555,2.0
13,76,,,0.0
13,60,8457.5,9096.928739964935,2.0
13,27,1190.0,107.48023074035522,2.0
13,74,1179.0,,1.0
13,3,7965.5,12514.343730296048,4.0
13,66,12422.5,5906.462943251231,2.0
13,5,5096.0,,1.0
13,62,40168.5,8242.743748291585,2.0
13,30,9981.0,,1.0
14,3,20248.0,24493.47486576782,3.0
14,27,1517.0,,1.0
14,74,3753.0,,1.0
14,72,,,0.0
14,11,1212.0,,1.0
14,76,,,0.0
14,60,472.0,,1.0
14,5,3190.5,2922.472326644001,2.0
14,62,8695.0,11199.157200432539,2.0
14,9,1730.5,188.79751057680818,2.0
14,30,10944.0,,1.0
14,28,8064.0,7778.174593052023,2.0
14,66,1169.0,,1.0
14,20,8450.5,1365.4231944712233,2.0
15,76,,,0.0
15,74,7642.0,,1.0
15,62,18349.0,21858.084820038555,2.0
15,3,67547.66666666667,28621.197142444384,6.0
15,20,23321.0,59.39696961966999,2.0
15,9,17104.5,14137.185876262645,2.0
15,30,22054.0,,1.0
15,72,14208.0,3938.58477120907,2.0
15,11,26895.0,,1.0
15,27,20459.666666666668,17035.59920675916,3.0
15,5,66884.0,31995.853689710068,4.0
15,66,24438.0,,1.0
15,60,15628.0,1436.8409793710646,2.0
15,28,25609.25,18844.99079994469,4.0
17,74,6350.0,,1.0
17,28,21609.333333333332,6741.69484130907,3.0
17,30,14160.0,,1.0
17,3,23974.0,8820.449988520993,2.0
17,76,,,0.0
17,20,9737.5,3632.4075349552945,2.0
17,60,3441.0,,1.0
17,11,10147.0,,1.0
17,5,,,0.0
17,27,15640.0,6553.465648036922,2.0
17,66,5255.0,,1.0
17,62,11378.0,10728.224084162299,2.0
17,9,5202.0,,1.0
17,72,12595.5,1430.4770183403857,2.0
18,11,26183.0,,1.0
18,76,,,0.0
18,27,15352.0,20637.618515710576,2.0
18,28,19200.0,,1.0
18,74,1069.0,,1.0
18,60,16504.0,434.16356364854016,2.0
18,9,1429.0,,1.0
18,3,42862.5,22264.244436614805,4.0
18,30,1754.0,,1.0
18,66,5775.0,,1.0
18,62,18747.0,,1.0
18,5,47312.0,15582.075952837606,3.0
18,72,7699.0,,1.0
18,20,17591.0,5159.051075537051,2.0
20,20,18124.0,,1.0
20,27,1169.0,,1.0
20,11,30499.0,,1.0
20,5,2025.5,21.920310216782973,2.0
20,9,,,0.0
20,30,52982.0,,1.0
20,60,6109.0,5222.69068584384,2.0
20,3,,,0.0
20,66,,,0.0
20,62,,,0.0
20,74,,,0.0
20,76,,,0.0
20,72,,,0.0
20,28,60172.0,,1.0
21,9,13413.0,1695.642061285341,2.0
21,30,5607.0,,1.0
21,74,871.0,,1.0
21,3,32712.333333333332,17404.32929666256,6.0
21,76,,,0.0
21,27,12379.5,1307.4404384139264,2.0
21,11,,,0.0
21,20,7112.0,560.0285706997456,2.0
21,60,4859.5,5929.090360249201,2.0
21,28,729.0,,1.0
